pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
179.0,-86.4525,180.0,top,C1,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
249.4,-89.8,0.0,top,C10,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,10u,smt
207.5,-82.6,0.0,top,C11,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
224.2,-90.9,180.0,top,C12,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
242.7,-72.9,0.0,top,C13,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
242.7,-76.25,0.0,top,C14,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
240.2,-79.0,0.0,top,C15,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
224.5,-76.2,180.0,top,C16,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
227.9,-72.2625,90.0,top,C17,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
228.2,-89.9,-90.0,top,C18,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
222.5,-79.6,180.0,top,C19,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
216.7,-95.9,180.0,top,C2,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,10uF XR7,smt
234.3,-72.3,90.0,top,C20,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
222.5,-82.6,180.0,top,C21,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
219.3,-76.8,180.0,top,C22,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
222.5,-85.5,180.0,top,C23,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
231.2,-72.3,90.0,top,C24,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
237.2,-76.4,0.0,top,C25,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
240.2,-84.1,0.0,top,C26,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
237.5,-72.2,90.0,top,C27,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
240.2,-81.6,0.0,top,C28,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
190.6,-95.8,90.0,top,C29,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,10u,smt
216.7,-93.4,180.0,top,C3,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22u,smt
193.3,-95.7625,90.0,top,C30,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n near XU316,smt
206.3,-93.2,0.0,top,C31,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n near XU316,smt
237.8,-87.0,0.0,top,C32,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1u X7R,smt
231.0,-89.9,-90.0,top,C33,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100n,smt
